,Target tweets
0,"When happy smoke weed when sad smoke weed all feel get stone 
"
1,"you dont like weed all you have not smoke and mind your own damn business literally take zero effort 
"
2,"You ever be high you have change you breathe from automatic manual 
"
3,"Gunna Lil Baby 
"
4,"NowPlaying Wiz khalifa Lil Skies 
"
5,"Young M.A RED FLU mixtape album n't have bad songs 
"
6,"Happy birthday himWishing him more winsStay lift 
"
7,"educate Dress well Get money Smoke Weed Mind your business These Are What Makes You Stoner 
"
8,"breakup aint shit You ever lose joint before 
"
9,"Nobody will know youre stone youre always stone 
"
10,"This man pay Lil Baby stay out the streets and stick rap ... also believe Gunna and give chanc 
"
11,"sorry Gunna didnt miss all 
"
12,"Young Boy Never Broke Again Migos Need 
"
13,"Real stoners n't flex how much they smoke 
"
14,"New albums drop tonight 5/22Gunna WunnaThe 1975 Notes Conditional FormYoung M.A Red FluKota 
"
15,"matter how high get always down smoke another 
"
16,"Let have 3some You amp the Joint 
"
17,"Lil Baby get hit right back 
"
18,"bout rumble the jungle these new Kanye 
"
19,"When you smoke weed you will get high When you read you will get educate when you read and smoke you will get highly educate 
"
20,"Girls who smoke weed be beautiful dont make the rule 
"
21,"like weed aggressive Choke bih 
"
22,"dozens people follow and people unfollowed automatically check 
"
23,"you ever catch yourself really deep minute think then snap yourself out and say really high.. 
"
24,"You know you 're stoner when any amount money you hear the first thing you think how much bud you can buy with that 
"
25,"Happy birthday FAMMore winsStay lift 
"
26,"wish have friend like myself need ... ... 
"
27,"Happy Birthday FAM love you Stay Lifted Mmemberville 
"
28,"The Weeknd and Doja Cat will release remix Your Eyes tonight 
"
29,"not rich but can afford need 
"
30,"Wilfred Ndidi the most underated footballer the world 
"
31,"hate smell like weed ass person Mind your business 
"
32,"People bullshit and fakeness why like alone listen good music and smoke weed 
"
33,"Legend 
"
34,"boys be back 
"
35,"Methodist High School 
"
36,"Gunnas new album Wunna will feature Young Thug Lil Baby Roddy Ricch Travis Scott Nechie 
"
37,"NowPlaying Something Metro Booming Young Thug amp Travis Scott 
"
38,"Your birth month what make you feel better when sad January Weed February Weed March WeedApril Wee 
"
39,"When high notice weird vibes bad energy and sneaky shit heartbeat 
"
40,"Please smoke more and bitch less 
"
41,"Hangovers be God way tell alcoholics they should 've smoke weed instead 
"
42,"Mustard legend London legend the make 
"
43,"high ball check the fridge for the third time just case new food spawn 
"
44,"Posty too good compare with Swae Lee 
"
45,"Lil Baby 
"
46,"Gunna 
"
47,"High off life 
"
48,"Cant wait old grandpa and whip this jawn out tell grandkids about when weed be illegal 
"
49,"You ever smoke some weed that get you high you understand why some people dont like smoke weed 
"
50,"Sometimes only box dey press God dey add 
"
51,"Hate him nah Xhaka our best 
"
52,"wed cake gon edible and not warn anybody 
"
53,"Drop title dey tease ajigijaga 
"
54,"smoke weed often that forget illegal mean smoke every day weird n't even get why illegal begin with 
"
55,"high the house and the house high 
"
56,"you get here without them you n't need them get there 
"
57,"Y'all scar heartbreaks ... ... here scar die without be billionaire 
"
58,"when swallow stoner guy cum like edible just get wait for kick 
"
59,"Shout out followers who interact with tweet Yall the realest ones 
"
60,"get the game from old head think different 
"
61,"Smoking weed together romantic 
"
62,"The album drop the 22nd 
"
63,"love smoke music while listen weed 
"
64,"smoke weed before eat eat and then smoke right after 
"
65,"NowPlaying Rockstar Dababy Roddy Ricch 
"
66,"Weed hit lil different when your life lil fuck 
"
67,"brain naturally crave things WeedFoodWaterSleepMoney 
"
68,"Presh have explore all the pills not just kind high ref emzor dizapam make sleep 
"
69,"hard joint love Gunna flow n't wait for the full album drop Friday 
"
70,"NowPlaying Wunna Gunna 
"
71,"4:20 shade want get high 
"
72,"just say Nas legend mean 
"
73,"Nas legendJ Cole legend the make 
"
74,"have taste those highs anytime high pills neglect all responsibilities for the day that 
"
75,"have use blue pills talk about ref dizapam tramadol emzor have taste their high before just 
"
76,"n't fuck with pills just smoke weed 
"
77,"Mondays be not bad when you have weed 
"
78,"she suck your dick from scratch and you feel rise like loaf bread she good sucker 
"
79,"Hitting joint here suicidal 
"
80,"the person you wan get high with 
"
81,"Why Ladies like make videos without say anything Just lick lips amp blink eye amp turn head like stand fan 
"
82,"Niggas go try your girl regardless ... ..it her remain solid 
"
83,"REDLYFE 
"
84,"always have the best idea when high but not be able remember them later 
"
